Scale,Base_scale,Window,AR_lags,AR_scale,AR_exog_scale,Skewness,Kurtosis,DW,DW_absolute,alphas,alphas_pval,betas,betas_pval,gammas,gammas_pval
300,35,25,10,0,0,0.32801821209124166,5.202969753759005,1.9993569037374812,1.065101815089837,0.05008345198956804,2.3300293068942828e-07,0.9499215363916347,0.0,0.04355386234482989,0.001938712708537643
300,35,25,10,0,0,0.1063443975353766,3.0013807607323866,2.0031277065340842,0.9763409604792028,0.08408082112347406,0.07349033788068002,0.9159191869225709,7.4190987557831165e-22,-0.006115840121498133,0.802552168120551
300,35,25,10,0,0,-0.11126294624663707,8.280146150922702,2.0054740756442127,1.0590294933384667,0.7766591367350404,1.0052574896758942e-08,0.22334139002133102,0.13205907270994288,0.10190107020868344,0.16207111801460128
300,35,25,10,0,0,-0.018468821599243266,3.1402235107454164,1.9969409387996513,0.9888942695068995,0.06544233544355244,1.653014681039997e-06,0.934557664555713,1.1518657943654156e-297,0.005410553775283595,0.804464352052137
300,35,25,10,0,0,0.14573546730406142,5.935530279331587,2.0025183207589228,1.072443190810419,0.07430549056838169,0.7424016387801354,0.9256993022724225,0.026657078632347214,-0.032613886442957984,0.023211202094359538
300,35,25,10,0,0,-0.19137372727523078,6.42341923829105,2.0089114266741044,1.0748464436476506,0.1264156376960261,0.1489149983942661,0.8727744952379606,1.784663476047534e-22,0.036148728742067926,0.08190620537024906
300,35,25,10,0,0,0.22751301738941113,5.073003140885001,1.9989694820409996,1.035605175277883,0.059203805038420064,0.610930092632503,0.9407961957452107,0.00043591220802064346,0.007666712810888928,0.8372551094961551
300,35,25,10,0,0,0.17248735981835447,4.8524736986260155,1.991956273714831,1.00747248919637,0.0807336115129367,0.0007957225560507631,0.9192663887734753,2.716722522419327e-75,0.027397495968505926,0.1460086799478351
300,35,25,10,0,0,-0.4020952442071771,9.799025936409258,1.962820079436765,1.0580488400380244,0.10990913411962804,0.48213274059184363,0.8901033377273562,1.5745159291846422e-06,0.015037685635122072,0.5884223602159004
300,35,25,10,0,0,0.20383002926818886,4.666951826360679,2.03304164077213,1.060846773092436,0.07989017438042198,3.543892187081648e-09,0.9201251799662795,0.0,-0.03212662002597929,0.0914851380641569
